Geographic Area,Latitude,Longitude,2021 Population Estimate (as of July 1)
Larkspur town,39.23,-104.89,210
Las Animas city,38.07,-103.22,"2,373"
Leadville city,39.25,-106.29,"2,613"
Limon town,39.27,-103.69,"2,041"
Littleton city,39.59,-105.02,"45,191"
Lochbuie town,40.01,-104.73,"8,135"
Log Lane Village town,40.27,-103.83,896
Lone Tree city,39.53,-104.87,"14,206"
Longmont city,40.17,-105.1,"100,758"
Louisville city,39.97,-105.14,"20,975"
Loveland city,40.42,-105.06,"77,194"
Lyons town,40.22,-105.27,"2,208"
Manassa town,37.17,-105.94,969
Mancos town,37.35,-108.29,"1,221"
Manitou Springs city,38.86,-104.91,"4,832"
Manzanola town,38.11,-103.87,340
Marble town,39.07,-107.19,134
Mead town,40.23,-104.99,"5,336"
Meeker town,40.05,-107.9,"2,336"
Merino town,40.48,-103.35,279
Milliken town,40.31,-104.86,"8,696"
Minturn town,39.55,-106.39,"1,004"
Moffat town,38,-105.91,106
Monte Vista city,37.58,-106.15,"4,194"
Montezuma town,39.58,-105.87,74
Montrose city,38.47,-107.86,"20,648"
Monument town,39.07,-104.86,"10,859"
Morrison town,39.64,-105.19,381
Mount Crested Butte town,38.91,-106.96,973
Mountain View town,39.77,-105.06,536
Mountain Village town,37.93,-107.86,"1,265"
Naturita town,38.22,-108.57,481
Nederland town,39.96,-105.51,"1,523"
New Castle town,39.58,-107.53,"4,892"
Northglenn city,39.91,-104.98,"37,333"
Norwood town,38.13,-108.29,533
Nucla town,38.27,-108.55,592
Nunn town,40.71,-104.79,515
Oak Creek town,40.27,-106.96,870
Olathe town,38.61,-107.98,"1,874"
Olney Springs town,38.17,-103.94,337
Ophir town,37.86,-107.83,195
Orchard City town,38.81,-107.97,"3,199"
Ordway town,38.22,-103.76,"1,157"
Otis town,40.15,-102.96,521
Ouray city,38.03,-107.67,923
Ovid town,40.96,-102.39,264
Pagosa Springs town,37.27,-107.03,"1,631"
Palisade town,39.11,-108.36,"2,584"
Palmer Lake town,39.12,-104.91,"2,654"
Paoli town,40.61,-102.47,48
Paonia town,38.87,-107.59,"1,462"
Parachute town,39.45,-108.05,"1,381"
Parker town,39.51,-104.77,"60,313"
Peetz town,40.96,-103.11,210
Pierce town,40.63,-104.76,"1,097"
Pitkin town,38.61,-106.52,76
Platteville town,40.22,-104.84,"2,937"
Poncha Springs town,38.51,-106.1,"1,091"
Pritchett town,37.37,-102.86,114
Pueblo city,38.27,-104.61,"112,368"
Ramah town,39.12,-104.17,109
Rangely town,40.09,-108.78,"2,296"
Raymer (New Raymer) town,40.61,-103.84,109
Red Cliff town,39.51,-106.37,256
Rico town,37.69,-108.03,347
Ridgway town,38.16,-107.75,"1,207"
Rifle city,39.54,-107.78,"10,518"
Rockvale town,38.36,-105.16,524
Rocky Ford city,38.05,-103.72,"3,854"
Romeo town,37.17,-105.99,310
Rye town,37.92,-104.93,206
Saguache town,38.09,-106.14,531
Salida city,38.53,-106,"5,812"
San Luis town,37.2,-105.42,613
Sanford town,37.26,-105.9,905
Sawpit town,37.99,-108,37
Sedgwick town,40.94,-102.53,169
Seibert town,39.3,-102.87,174
Severance town,40.53,-104.86,"9,605"
Sheridan city,39.65,-105.02,"6,035"
Sheridan Lake town,38.47,-102.29,56
Silt town,39.55,-107.65,"3,569"
Silver Cliff town,38.12,-105.41,645
Silver Plume town,39.7,-105.73,204
Silverthorne town,39.66,-106.09,"4,677"
Silverton town,37.81,-107.66,651
Simla town,39.14,-104.08,598
Snowmass Village town,39.22,-106.94,"3,093"
South Fork town,37.67,-106.64,500
Springfield town,37.4,-102.62,"1,336"
Starkville town,37.12,-104.52,66
Steamboat Springs city,40.48,-106.82,"13,390"
Sterling city,40.62,-103.19,"13,739"
Stratton town,39.3,-102.6,641
Sugar City town,38.23,-103.66,276
Superior town,39.93,-105.16,"13,271"
Swink town,38.01,-103.63,602
Telluride town,37.94,-107.82,"2,595"
Thornton city,39.92,-104.94,"142,610"
Timnath town,40.53,-104.96,"7,839"
Trinidad city,37.17,-104.49,"8,335"
Two Buttes town,37.56,-102.4,34
Vail town,39.64,-106.36,"4,735"
Victor city,38.71,-105.14,378
Vilas town,37.37,-102.45,97
Vona town,39.3,-102.74,89
Walden town,40.73,-106.28,597
Walsenburg city,37.63,-104.78,"3,065"
Walsh town,37.39,-102.28,543
Ward town,40.07,-105.51,130
Wellington town,40.7,-105.01,"11,722"
Westcliffe town,38.13,-105.47,546
Westminster city,39.88,-105.06,"114,561"
Wheat Ridge city,39.77,-105.1,"32,722"
Wiggins town,40.23,-104.07,"1,549"
Wiley town,38.16,-102.72,445
Williamsburg town,38.38,-105.17,746
Windsor town,40.47,-104.92,"35,788"
Winter Park town,39.88,-105.78,"1,031"
Woodland Park city,39,-105.06,"7,983"
Wray city,40.08,-102.23,"2,308"
Yampa town,40.15,-106.91,407
Yuma city,40.12,-102.72,"3,455"
